수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
694,1.0,9500,2018,1,2,0,0,0,1,0
426,1.0,7600,2018,1,3,0,0,0,1,0
572,1.0,10800,2018,1,4,0,0,0,1,0
675,1.0,9800,2018,1,5,0,0,0,1,0
1432,1.0,9200,2018,1,6,0,0,0,1,0
848,1.0,8600,2018,1,8,0,0,0,1,0
320,1.0,8700,2018,1,9,0,0,0,1,0
235,1.0,6600,2018,1,10,0,0,0,1,0
222,1.0,11400,2018,1,11,0,0,0,1,0
358,1.0,7400,2018,1,12,0,0,0,1,0
220,1.0,11700,2018,1,13,0,0,0,1,0
864,1.0,6900,2018,1,15,0,0,0,1,0
250,1.0,12000,2018,1,16,0,0,0,1,0
347,1.0,9300,2018,1,17,0,0,0,1,0
229,1.0,12200,2018,1,18,0,0,0,1,0
243,1.0,12500,2018,1,19,0,0,0,1,0
592,1.0,8800,2018,1,20,0,0,0,1,0
129,1.0,7400,2018,1,22,0,0,0,1,0
195,1.0,12600,2018,1,23,0,0,0,1,0
295,1.0,9400,2018,1,24,0,0,0,1,0
422,1.0,10500,2018,1,25,0,0,0,1,0
42,1.0,11200,2018,1,26,0,0,0,1,0
192,1.0,13100,2018,1,27,0,0,0,1,0
733,1.0,8500,2018,1,29,0,0,0,1,0
193,1.0,11700,2018,1,30,0,0,0,1,0
19,1.0,11800,2018,1,31,0,0,0,1,0
315,1.0,10900,2018,2,1,0,0,0,1,0
365,1.0,13600,2018,2,2,0,0,0,1,0
1125,1.0,11700,2018,2,3,0,0,0,1,0
984,1.0,10100,2018,2,5,0,0,0,1,0
44,1.0,9900,2018,2,6,0,0,0,1,0
826,1.0,11200,2018,2,7,0,0,0,1,0
758,1.0,8200,2018,2,8,0,0,0,1,0
391,1.0,10500,2018,2,9,0,0,0,1,0
84,1.0,13400,2018,2,10,0,0,0,1,0
988,1.0,11200,2018,2,12,0,0,0,1,0
1077,1.0,9200,2018,2,13,0,0,0,1,0
399,1.0,13000,2018,2,14,0,0,0,1,0
992,1.0,11300,2018,2,15,0,0,0,1,0
772,1.0,11400,2018,2,19,0,0,0,1,0
804,1.0,9300,2018,2,20,0,0,0,1,0
374,1.0,9500,2018,2,21,0,0,0,1,0
625,1.0,10100,2018,2,22,0,0,0,1,0
676,1.0,11400,2018,2,23,0,0,0,1,0
829,1.0,11000,2018,2,24,0,0,0,1,0
539,1.0,11000,2018,2,26,0,0,0,1,0
541,1.0,8300,2018,2,27,0,0,0,1,0
59,1.0,9400,2018,2,28,0,0,0,1,0
580,1.0,10600,2018,3,1,0,0,0,1,0
764,1.0,10700,2018,3,2,0,0,0,1,0
761,1.0,10300,2018,3,3,0,0,0,1,0
730,1.0,9000,2018,3,5,0,0,0,1,0
271,1.0,9200,2018,3,6,0,0,0,1,0
127,1.0,6500,2018,3,7,0,0,0,1,0
712,1.0,9400,2018,3,8,0,0,0,1,0
673,1.0,8700,2018,3,9,0,0,0,1,0
13,1.0,8600,2018,3,10,0,0,0,1,0
494,1.0,11000,2018,3,12,0,0,0,1,0
425,1.0,11800,2018,3,14,0,0,0,1,0
229,1.0,7700,2018,3,15,0,0,0,1,0
748,1.0,10000,2018,3,16,0,0,0,1,0
427,1.0,10200,2018,3,17,0,0,0,1,0
846,1.0,8400,2018,3,19,0,0,0,1,0
574,1.0,6700,2018,3,20,0,0,0,1,0
205,1.0,8400,2018,3,21,0,0,0,1,0
83,1.0,7200,2018,3,22,0,0,0,1,0
442,1.0,11900,2018,3,23,0,0,0,1,0
866,1.0,10500,2018,3,24,0,0,0,1,0
748,1.0,10600,2018,3,26,0,0,0,1,0
395,1.0,7800,2018,3,27,0,0,0,1,0
739,1.0,9900,2018,3,28,0,0,0,1,0
1037,1.0,6900,2018,3,29,0,0,0,1,0
1469,1.0,7600,2018,3,30,0,0,0,1,0
323,1.0,5400,2018,3,31,0,0,0,1,0
678,1.0,7100,2018,4,2,0,0,0,1,0
360,1.0,7100,2018,4,3,0,0,0,1,0
303,1.0,7200,2018,4,4,0,0,0,1,0
640,1.0,9100,2018,4,5,0,0,0,1,0
837,1.0,9300,2018,4,7,0,0,0,1,0
403,1.0,10800,2018,4,9,0,0,0,1,0
587,1.0,10000,2018,4,11,0,0,0,1,0
299,1.0,8000,2018,4,12,0,0,0,1,0
495,1.0,12000,2018,4,13,0,0,0,1,0
400,1.0,10400,2018,4,14,0,0,0,1,0
47,1.0,8300,2018,4,17,0,0,0,1,0
555,1.0,11700,2018,4,19,0,0,0,1,0
395,1.0,9000,2018,4,20,0,0,0,1,0
503,1.0,9800,2018,4,21,0,0,0,1,0
193,1.0,9200,2018,4,23,0,0,0,1,0
360,1.0,5900,2018,4,24,0,0,0,1,0
116,1.0,9200,2018,4,25,0,0,0,1,0
327,1.0,9500,2018,4,26,0,0,0,1,0
464,1.0,9400,2018,4,27,0,0,0,1,0
326,1.0,8700,2018,4,28,0,0,0,1,0
599,1.0,8700,2018,4,30,0,0,0,1,0
600,1.0,7900,2018,5,1,0,0,0,1,0
9,1.0,6000,2018,5,2,0,0,0,1,0
204,1.0,8600,2018,5,3,0,0,0,1,0
413,1.0,7500,2018,5,4,0,0,0,1,0
578,1.0,10000,2018,5,5,0,0,0,1,0
528,1.0,11800,2018,5,8,0,0,0,1,0
764,1.0,10200,2018,5,10,0,0,0,1,0
652,1.0,9200,2018,5,11,0,0,0,1,0
818,1.0,10600,2018,5,12,0,0,0,1,0
225,1.0,9400,2018,5,14,0,0,0,1,0
250,1.0,5800,2018,5,16,0,0,0,1,0
232,1.0,8300,2018,5,17,0,0,0,1,0
247,1.0,6500,2018,5,18,0,0,0,1,0
922,1.0,11500,2018,5,19,0,0,0,1,0
534,1.0,8600,2018,5,21,0,0,0,1,0
2,1.0,11000,2018,5,22,0,0,0,1,0
258,1.0,11600,2018,5,23,0,0,0,1,0
111,1.0,10000,2018,5,24,0,0,0,1,0
293,1.0,10900,2018,5,25,0,0,0,1,0
1072,1.0,10800,2018,5,26,0,0,0,1,0
157,1.0,14300,2018,5,30,0,0,0,1,0
225,1.0,12800,2018,5,31,0,0,0,1,0
629,1.0,11000,2018,6,1,0,0,0,1,0
894,1.0,10900,2018,6,2,0,0,0,1,0
402,1.0,2200,2018,6,4,0,0,0,1,0
355,1.0,11000,2018,6,5,0,0,0,1,0
492,1.0,5700,2018,6,6,0,0,0,1,0
340,1.0,9400,2018,6,7,0,0,0,1,0
362,1.0,10400,2018,6,8,0,0,0,1,0
198,1.0,12100,2018,6,9,0,0,0,1,0
182,1.0,6700,2018,6,11,0,0,0,1,0
221,1.0,14400,2018,6,13,0,0,0,1,0
578,1.0,10800,2018,6,15,0,0,0,1,0
177,1.0,14700,2018,6,18,0,0,0,1,0
520,1.0,11600,2018,6,20,0,0,0,1,0
363,1.0,10300,2018,6,21,0,0,0,1,0
371,1.0,9100,2018,6,22,0,0,0,1,0
163,1.0,14200,2018,6,23,0,0,0,1,0
345,1.0,11700,2018,6,25,0,0,0,1,0
396,1.0,7900,2018,6,26,0,0,0,1,0
192,1.0,7200,2018,6,27,0,0,0,1,0
184,1.0,7500,2018,6,28,0,0,0,1,0
114,1.0,8800,2018,6,29,0,0,0,1,0
552,1.0,12700,2018,6,30,0,0,0,1,0
392,1.0,9500,2018,7,2,0,0,0,1,0
38,1.0,9000,2018,7,4,0,0,0,1,0
389,1.0,12300,2018,7,6,0,0,0,1,0
374,1.0,10300,2018,7,7,0,0,0,1,0
415,1.0,11800,2018,7,9,0,0,0,1,0
159,1.0,13100,2018,7,11,0,0,0,1,0
342,1.0,12300,2018,7,12,0,0,0,1,0
199,1.0,13000,2018,7,13,0,0,0,1,0
136,1.0,8000,2018,7,14,0,0,0,1,0
350,1.0,10600,2018,7,16,0,0,0,1,0
164,1.0,12600,2018,7,18,0,0,0,1,0
399,1.0,12800,2018,7,19,0,0,0,1,0
135,1.0,6300,2018,7,20,0,0,0,1,0
347,1.0,12700,2018,7,21,0,0,0,1,0
164,1.0,11900,2018,7,23,0,0,0,1,0
162,1.0,12700,2018,7,24,0,0,0,1,0
652,1.0,10300,2018,7,26,0,0,0,1,0
1618,1.0,5100,2018,7,27,0,0,0,1,0
31,1.0,12100,2018,7,30,0,0,0,1,0
659,1.0,6000,2018,7,31,0,0,0,1,0
358,1.0,11400,2018,8,2,0,0,0,1,0
