amount,weight,avg_price,yyyy,mm,dd,origin_제주도,standard_10미,standard_20미,standard_25미,standard_5미
54273,1,5.0,77000,2017,3,3,1,0,1,0,0
54279,7,5.0,277000,2017,3,3,1,0,0,0,1
54314,93,3.5,98400,2017,3,6,1,1,0,0,0
54315,54,4.5,130400,2017,3,6,1,1,0,0,0
54316,61,5.0,154300,2017,3,6,1,1,0,0,0
54334,85,3.5,92800,2017,3,7,1,1,0,0,0
54335,45,4.5,125900,2017,3,7,1,1,0,0,0
54342,1,4.6,250000,2017,3,7,1,0,0,0,1
54353,2,3.0,50000,2017,3,8,1,1,0,0,0
54354,72,3.5,90300,2017,3,8,1,1,0,0,0
54355,3,4.0,88300,2017,3,8,1,1,0,0,0
54356,44,4.5,127300,2017,3,8,1,1,0,0,0
54357,11,5.0,190000,2017,3,8,1,1,0,0,0
54361,1,3.2,145000,2017,3,8,1,0,0,0,1
54382,51,3.5,101000,2017,3,9,1,1,0,0,0
54393,42,3.5,111400,2017,3,10,1,1,0,0,0
54394,10,4.0,123600,2017,3,10,1,1,0,0,0
54395,39,4.5,142700,2017,3,10,1,1,0,0,0
54396,23,5.0,202200,2017,3,10,1,1,0,0,0
54397,1,6.0,210000,2017,3,10,1,1,0,0,0
54400,3,5.0,82000,2017,3,10,1,0,1,0,0
54413,31,3.5,117800,2017,3,11,1,1,0,0,0
54414,1,3.7,130000,2017,3,11,1,1,0,0,0
54415,25,4.5,149600,2017,3,11,1,1,0,0,0
54416,12,5.0,212500,2017,3,11,1,1,0,0,0
54417,1,10.0,220000,2017,3,11,1,1,0,0,0
54423,36,3.5,125000,2017,3,13,1,1,0,0,0
54424,22,4.5,158400,2017,3,13,1,1,0,0,0
54425,51,5.0,183800,2017,3,13,1,1,0,0,0
54426,1,5.0,90000,2017,3,13,1,0,1,0,0
54430,1,3.5,140000,2017,3,13,1,0,0,0,1
54431,6,5.0,301700,2017,3,13,1,0,0,0,1
54439,44,3.5,121600,2017,3,14,1,1,0,0,0
54440,2,4.0,210000,2017,3,14,1,1,0,0,0
54441,27,4.5,158900,2017,3,14,1,1,0,0,0
54442,15,5.0,200200,2017,3,14,1,1,0,0,0
54444,8,5.0,84500,2017,3,14,1,0,1,0,0
54445,4,6.5,190000,2017,3,14,1,0,1,0,0
54446,7,5.0,57000,2017,3,14,1,0,0,1,0
54447,1,6.0,73000,2017,3,14,1,0,0,1,0
54461,42,3.5,120600,2017,3,15,1,1,0,0,0
54462,19,4.0,125500,2017,3,15,1,1,0,0,0
54463,11,4.5,165000,2017,3,15,1,1,0,0,0
54464,44,5.0,182800,2017,3,15,1,1,0,0,0
54465,1,5.5,160000,2017,3,15,1,1,0,0,0
54469,15,6.5,180000,2017,3,15,1,0,1,0,0
54482,31,3.5,121900,2017,3,16,1,1,0,0,0
54483,6,4.0,135000,2017,3,16,1,1,0,0,0
54484,5,4.5,170000,2017,3,16,1,1,0,0,0
54485,1,4.8,170000,2017,3,16,1,1,0,0,0
54486,47,5.0,187300,2017,3,16,1,1,0,0,0
54488,7,5.0,284300,2017,3,16,1,0,0,0,1
54496,57,3.5,122400,2017,3,17,1,1,0,0,0
54497,4,4.0,130000,2017,3,17,1,1,0,0,0
54498,20,4.5,159400,2017,3,17,1,1,0,0,0
54499,32,5.0,175600,2017,3,17,1,1,0,0,0
54514,43,3.5,119300,2017,3,18,1,1,0,0,0
54515,12,4.5,160800,2017,3,18,1,1,0,0,0
54516,25,5.0,179400,2017,3,18,1,1,0,0,0
54526,60,3.5,120800,2017,3,20,1,1,0,0,0
54527,38,4.5,159700,2017,3,20,1,1,0,0,0
54528,36,5.0,202800,2017,3,20,1,1,0,0,0
54529,1,3.6,40000,2017,3,20,1,0,1,0,0
54530,13,6.5,195400,2017,3,20,1,0,1,0,0
54534,5,5.0,320000,2017,3,20,1,0,0,0,1
54546,1,3.0,60000,2017,3,21,1,1,0,0,0
54547,41,3.5,116200,2017,3,21,1,1,0,0,0
54548,4,4.0,138000,2017,3,21,1,1,0,0,0
54549,13,4.5,162300,2017,3,21,1,1,0,0,0
54550,39,5.0,183700,2017,3,21,1,1,0,0,0
54556,9,5.0,90000,2017,3,21,1,0,1,0,0
54557,8,6.5,183500,2017,3,21,1,0,1,0,0
54568,92,3.5,102500,2017,3,22,1,1,0,0,0
54569,23,4.0,121000,2017,3,22,1,1,0,0,0
54570,45,4.5,144500,2017,3,22,1,1,0,0,0
54571,49,5.0,186900,2017,3,22,1,1,0,0,0
54576,1,5.0,90000,2017,3,22,1,0,1,0,0
54577,3,6.0,140000,2017,3,22,1,0,1,0,0
54578,4,6.5,183000,2017,3,22,1,0,1,0,0
54583,45,3.5,112900,2017,3,23,1,1,0,0,0
54584,7,4.0,130000,2017,3,23,1,1,0,0,0
54585,33,4.5,149000,2017,3,23,1,1,0,0,0
54586,38,5.0,188800,2017,3,23,1,1,0,0,0
54595,1,4.5,235000,2017,3,23,1,0,0,0,1
54596,1,5.0,255000,2017,3,23,1,0,0,0,1
54605,51,3.5,106500,2017,3,24,1,1,0,0,0
54606,2,4.0,131000,2017,3,24,1,1,0,0,0
54607,13,4.5,153800,2017,3,24,1,1,0,0,0
54608,15,5.0,205000,2017,3,24,1,1,0,0,0
54618,58,3.5,105700,2017,3,25,1,1,0,0,0
54619,9,4.0,125000,2017,3,25,1,1,0,0,0
54620,21,4.5,154800,2017,3,25,1,1,0,0,0
54621,48,5.0,171100,2017,3,25,1,1,0,0,0
54623,2,6.5,180000,2017,3,25,1,0,1,0,0
54627,9,5.0,276700,2017,3,25,1,0,0,0,1
54637,39,3.5,113000,2017,3,27,1,1,0,0,0
54638,13,4.5,161200,2017,3,27,1,1,0,0,0
54639,44,5.0,172800,2017,3,27,1,1,0,0,0
54641,1,5.0,95000,2017,3,27,1,0,1,0,0
54660,35,3.5,115600,2017,3,28,1,1,0,0,0
54661,7,4.0,121400,2017,3,28,1,1,0,0,0
54662,21,4.5,159700,2017,3,28,1,1,0,0,0
54663,16,5.0,191800,2017,3,28,1,1,0,0,0
54666,4,5.0,90000,2017,3,28,1,0,1,0,0
54667,2,6.5,200000,2017,3,28,1,0,1,0,0
54677,22,3.5,121800,2017,3,29,1,1,0,0,0
