수량,중량,평균가,yyyy,mm,dd,산지_부산(기장),산지_제주도,규격_18미,규격_20미,규격_24미,규격_26미,규격_28미,규격_중
124,10.0,51600,2018,8,24,1,0,0,1,0,0,0,0
10,13.0,35000,2018,8,27,1,0,0,1,0,0,0,0
35,13.0,60000,2018,8,28,1,0,0,1,0,0,0,0
300,13.0,56300,2018,8,31,1,0,0,1,0,0,0,0
546,13.0,38200,2018,9,1,1,0,0,1,0,0,0,0
226,13.0,33800,2018,9,3,1,0,0,1,0,0,0,0
1054,13.0,30300,2018,9,4,1,0,0,1,0,0,0,0
685,13.0,32700,2018,9,5,1,0,0,1,0,0,0,0
679,13.0,27600,2018,9,6,1,0,0,1,0,0,0,0
783,13.0,24100,2018,9,7,1,0,0,1,0,0,0,0
292,13.0,27600,2018,9,8,1,0,0,1,0,0,0,0
430,13.0,24300,2018,9,10,1,0,0,1,0,0,0,0
440,13.0,27300,2018,9,11,1,0,0,1,0,0,0,0
7,13.0,50000,2018,9,12,1,0,0,1,0,0,0,0
820,13.0,28700,2018,9,13,1,0,0,1,0,0,0,0
180,13.0,35600,2018,9,14,1,0,0,1,0,0,0,0
30,13.0,50000,2018,9,15,1,0,0,1,0,0,0,0
619,13.0,27700,2018,9,17,1,0,0,1,0,0,0,0
336,13.0,39300,2018,9,18,1,0,0,1,0,0,0,0
79,13.0,24100,2018,9,19,1,0,0,1,0,0,0,0
243,13.0,37100,2018,9,20,1,0,0,1,0,0,0,0
398,13.0,37500,2018,9,21,1,0,0,1,0,0,0,0
34,13.0,30000,2018,9,22,1,0,0,1,0,0,0,0
57,13.0,46500,2018,10,1,1,0,0,1,0,0,0,0
357,13.0,41600,2018,10,2,1,0,0,1,0,0,0,0
223,13.0,47800,2018,10,3,1,0,0,1,0,0,0,0
332,13.0,40900,2018,10,4,1,0,0,1,0,0,0,0
503,13.0,37700,2018,10,5,1,0,0,1,0,0,0,0
408,13.0,37800,2018,10,6,1,0,0,1,0,0,0,0
528,13.0,24600,2018,10,9,1,0,0,1,0,0,0,0
197,13.0,35100,2018,10,10,1,0,0,1,0,0,0,0
211,13.0,47100,2018,10,11,1,0,0,1,0,0,0,0
71,13.0,47200,2018,10,12,1,0,0,1,0,0,0,0
524,13.0,37000,2018,10,13,1,0,0,1,0,0,0,0
90,13.0,36400,2018,10,15,1,0,0,1,0,0,0,0
226,13.0,41900,2018,10,16,1,0,0,1,0,0,0,0
71,13.0,52200,2018,10,17,1,0,0,1,0,0,0,0
243,13.0,34000,2018,10,18,1,0,0,1,0,0,0,0
198,13.0,41300,2018,10,19,1,0,0,1,0,0,0,0
293,13.0,33700,2018,10,20,1,0,0,1,0,0,0,0
374,13.0,35500,2018,10,22,1,0,0,1,0,0,0,0
259,13.0,39100,2018,10,23,1,0,0,1,0,0,0,0
110,10.0,40000,2018,10,24,1,0,0,1,0,0,0,0
75,13.0,60000,2018,10,24,1,0,0,1,0,0,0,0
121,13.0,45000,2018,10,25,1,0,0,1,0,0,0,0
125,10.0,35000,2018,10,31,1,0,0,1,0,0,0,0
559,13.0,38100,2018,10,31,1,0,0,1,0,0,0,0
161,10.0,40000,2018,11,1,1,0,0,1,0,0,0,0
238,13.0,47400,2018,11,1,1,0,0,1,0,0,0,0
260,13.0,36700,2018,11,2,1,0,0,1,0,0,0,0
52,13.0,49200,2018,11,3,1,0,0,1,0,0,0,0
179,13.0,38000,2018,11,6,1,0,0,1,0,0,0,0
312,13.0,35600,2018,11,7,1,0,0,1,0,0,0,0
141,10.0,40000,2018,11,8,1,0,0,1,0,0,0,0
291,13.0,49100,2018,11,8,1,0,0,1,0,0,0,0
50,13.0,35000,2018,11,9,1,0,0,1,0,0,0,0
381,13.0,42800,2018,11,10,1,0,0,1,0,0,0,0
244,13.0,34800,2018,11,12,1,0,0,1,0,0,0,0
333,13.0,40700,2018,11,13,1,0,0,1,0,0,0,0
170,13.0,54400,2018,11,14,1,0,0,1,0,0,0,0
342,13.0,42000,2018,11,15,1,0,0,1,0,0,0,0
103,10.0,50000,2018,11,16,1,0,0,1,0,0,0,0
164,13.0,49400,2018,11,16,1,0,0,1,0,0,0,0
473,13.0,37600,2018,11,17,1,0,0,1,0,0,0,0
193,13.0,46400,2018,11,19,1,0,0,1,0,0,0,0
138,10.0,44100,2018,11,21,1,0,0,1,0,0,0,0
70,13.0,47900,2018,11,21,1,0,0,1,0,0,0,0
360,13.0,41300,2018,11,22,1,0,0,1,0,0,0,0
50,10.0,40000,2018,11,23,1,0,0,1,0,0,0,0
302,13.0,40500,2018,11,23,1,0,0,1,0,0,0,0
20,13.0,50000,2018,11,26,1,0,0,1,0,0,0,0
152,13.0,73200,2018,11,28,1,0,0,1,0,0,0,0
325,13.0,54300,2018,11,29,1,0,0,1,0,0,0,0
168,13.0,45500,2018,11,30,1,0,0,1,0,0,0,0
142,13.0,44800,2018,12,1,1,0,0,1,0,0,0,0
371,13.0,43300,2018,12,3,1,0,0,1,0,0,0,0
431,13.0,40300,2018,12,4,1,0,0,1,0,0,0,0
92,10.0,55000,2018,12,5,1,0,0,1,0,0,0,0
46,13.0,35000,2018,12,5,1,0,0,1,0,0,0,0
584,13.0,43300,2018,12,6,1,0,0,1,0,0,0,0
160,13.0,48800,2018,12,8,1,0,0,1,0,0,0,0
33,13.0,45000,2018,12,10,1,0,0,1,0,0,0,0
100,13.0,37000,2018,12,11,1,0,0,1,0,0,0,0
412,13.0,44500,2018,12,12,1,0,0,1,0,0,0,0
100,10.0,40000,2018,12,13,1,0,0,1,0,0,0,0
291,13.0,45300,2018,12,13,1,0,0,1,0,0,0,0
184,10.0,51100,2018,12,14,1,0,0,1,0,0,0,0
20,10.0,50000,2018,12,15,1,0,0,1,0,0,0,0
521,13.0,36100,2018,12,17,1,0,0,1,0,0,0,0
234,20.0,35000,2018,12,17,1,0,0,1,0,0,0,0
36,10.0,40000,2018,12,18,1,0,0,1,0,0,0,0
56,13.0,31400,2018,12,18,1,0,0,1,0,0,0,0
142,13.0,32600,2018,12,19,1,0,0,1,0,0,0,0
261,13.0,45400,2018,12,20,1,0,0,1,0,0,0,0
499,13.0,40000,2018,12,21,1,0,0,1,0,0,0,0
220,13.0,40000,2018,12,22,1,0,0,1,0,0,0,0
150,13.0,23000,2018,12,26,1,0,0,1,0,0,0,0
20,1.0,30000,2018,12,27,1,0,0,1,0,0,0,0
196,10.0,28700,2018,12,27,1,0,0,1,0,0,0,0
266,13.0,27600,2018,12,27,1,0,0,1,0,0,0,0
343,10.0,48500,2018,12,28,1,0,0,1,0,0,0,0
235,13.0,36400,2018,12,28,1,0,0,1,0,0,0,0
212,13.0,37700,2018,12,29,1,0,0,1,0,0,0,0
90,13.0,34400,2018,12,31,1,0,0,1,0,0,0,0
112,13.0,36600,2019,1,2,1,0,0,1,0,0,0,0
277,13.0,41400,2019,1,3,1,0,0,1,0,0,0,0
148,13.0,40000,2019,1,4,1,0,0,1,0,0,0,0
189,13.0,39900,2019,1,5,1,0,0,1,0,0,0,0
236,13.0,40000,2019,1,7,1,0,0,1,0,0,0,0
5,10.0,50000,2019,1,8,1,0,0,1,0,0,0,0
32,13.0,25000,2019,1,8,1,0,0,1,0,0,0,0
400,13.0,33600,2019,1,9,1,0,0,1,0,0,0,0
92,13.0,45400,2019,1,10,1,0,0,1,0,0,0,0
358,15.0,34900,2019,1,11,1,0,0,1,0,0,0,0
198,15.0,27300,2019,1,12,1,0,0,1,0,0,0,0
330,15.0,34300,2019,1,14,1,0,0,1,0,0,0,0
258,15.0,36900,2019,1,15,1,0,0,1,0,0,0,0
140,15.0,39600,2019,1,16,1,0,0,1,0,0,0,0
98,15.0,46500,2019,1,17,1,0,0,1,0,0,0,0
130,15.0,43000,2019,1,18,1,0,0,1,0,0,0,0
219,15.0,45000,2019,1,21,1,0,0,1,0,0,0,0
152,15.0,50000,2019,1,22,1,0,0,1,0,0,0,0
312,15.0,42800,2019,1,23,1,0,0,1,0,0,0,0
39,15.0,50000,2019,1,24,1,0,0,1,0,0,0,0
191,15.0,23400,2019,1,25,1,0,0,1,0,0,0,0
466,15.0,36800,2019,1,26,1,0,0,1,0,0,0,0
143,15.0,39000,2019,1,28,1,0,0,1,0,0,0,0
116,15.0,45000,2019,1,29,1,0,0,1,0,0,0,0
54,15.0,45000,2019,1,30,1,0,0,1,0,0,0,0
60,15.0,58500,2019,1,31,1,0,0,1,0,0,0,0
184,15.0,45200,2019,2,1,1,0,0,1,0,0,0,0
194,15.0,57100,2019,2,2,1,0,0,1,0,0,0,0
71,15.0,40000,2019,2,8,1,0,0,1,0,0,0,0
70,15.0,56400,2019,2,11,1,0,0,1,0,0,0,0
87,10.0,40000,2019,2,12,1,0,0,1,0,0,0,0
115,15.0,52400,2019,2,12,1,0,0,1,0,0,0,0
161,10.0,40000,2019,2,14,1,0,0,1,0,0,0,0
336,15.0,34000,2019,2,14,1,0,0,1,0,0,0,0
