amount,weight,avg_price,yyyy,mm,dd,origin_군산,origin_대천,origin_완도,standard_12/13미,standard_13/14미,standard_14/15미,standard_15/16미
1366,245,1.0,24000,2017,3,25,0,0,1,0,1,0,0
1368,130,1.0,23500,2017,3,25,0,0,1,0,0,1,0
1370,192,1.0,22500,2017,3,25,0,0,1,0,0,0,1
1388,156,1.0,25000,2017,3,27,0,0,1,1,0,0,0
1390,204,1.0,23300,2017,3,27,0,0,1,0,1,0,0
1392,272,1.0,23200,2017,3,27,0,0,1,0,0,1,0
1394,203,1.0,22800,2017,3,27,0,0,1,0,0,0,1
1403,167,1.0,24800,2017,3,28,0,0,1,1,0,0,0
1405,256,1.0,23100,2017,3,28,0,0,1,0,1,0,0
1407,202,1.0,23300,2017,3,28,0,0,1,0,0,1,0
1409,244,1.0,23500,2017,3,28,0,0,1,0,0,0,1
1424,199,1.0,24200,2017,3,29,0,0,1,1,0,0,0
1426,210,1.0,23100,2017,3,29,0,0,1,0,1,0,0
1428,133,1.0,23000,2017,3,29,0,0,1,0,0,1,0
1430,112,1.0,22300,2017,3,29,0,0,1,0,0,0,1
1444,131,1.0,25500,2017,3,30,0,0,1,1,0,0,0
1446,188,1.0,25300,2017,3,30,0,0,1,0,1,0,0
1448,111,1.0,25600,2017,3,30,0,0,1,0,0,1,0
1450,212,1.0,25100,2017,3,30,0,0,1,0,0,0,1
1464,190,1.0,26000,2017,3,31,0,0,1,1,0,0,0
1466,270,1.0,24500,2017,3,31,0,0,1,0,1,0,0
1467,181,1.0,24300,2017,3,31,0,0,1,0,0,1,0
1469,272,1.0,24000,2017,3,31,0,0,1,0,0,0,1
1483,181,1.0,26300,2017,4,1,0,0,1,1,0,0,0
1485,168,1.0,24900,2017,4,1,0,0,1,0,1,0,0
1486,195,1.0,25200,2017,4,1,0,0,1,0,0,1,0
1488,241,1.0,25100,2017,4,1,0,0,1,0,0,0,1
1504,90,1.0,27100,2017,4,3,0,0,1,1,0,0,0
1505,124,1.0,26500,2017,4,3,0,0,1,0,1,0,0
1506,124,1.0,25600,2017,4,3,0,0,1,0,0,1,0
1507,205,1.0,25400,2017,4,3,0,0,1,0,0,0,1
1523,102,1.0,26800,2017,4,4,0,0,1,1,0,0,0
1524,159,1.0,26200,2017,4,4,0,0,1,0,1,0,0
1526,104,1.0,25300,2017,4,4,0,0,1,0,0,1,0
1528,238,1.0,24600,2017,4,4,0,0,1,0,0,0,1
1544,133,1.0,26700,2017,4,5,0,0,1,1,0,0,0
1545,136,1.0,25500,2017,4,5,0,0,1,0,1,0,0
1547,36,1.0,25000,2017,4,5,0,0,1,0,0,1,0
1548,172,1.0,25400,2017,4,5,0,0,1,0,0,0,1
1565,100,1.0,27800,2017,4,6,0,0,1,1,0,0,0
1567,161,1.0,26600,2017,4,6,0,0,1,0,1,0,0
1568,68,1.0,26300,2017,4,6,0,0,1,0,0,1,0
1570,182,1.0,24600,2017,4,6,0,0,1,0,0,0,1
1584,124,1.0,26200,2017,4,7,0,0,1,1,0,0,0
1585,197,1.0,26000,2017,4,7,0,0,1,0,1,0,0
1586,92,1.0,26100,2017,4,7,0,0,1,0,0,1,0
1588,205,1.0,24700,2017,4,7,0,0,1,0,0,0,1
1604,123,1.0,26700,2017,4,8,0,0,1,1,0,0,0
1606,77,1.0,25900,2017,4,8,0,0,1,0,1,0,0
1607,161,1.0,27000,2017,4,8,0,0,1,0,0,1,0
1609,181,1.0,25800,2017,4,8,0,0,1,0,0,0,1
1623,89,1.0,26800,2017,4,10,0,0,1,1,0,0,0
1625,107,1.0,26300,2017,4,10,0,0,1,0,1,0,0
1627,89,1.0,25900,2017,4,10,0,0,1,0,0,1,0
1629,138,1.0,25600,2017,4,10,0,0,1,0,0,0,1
1644,88,1.0,27800,2017,4,11,0,0,1,1,0,0,0
1646,124,1.0,27300,2017,4,11,0,0,1,0,1,0,0
1648,68,1.0,26200,2017,4,11,0,0,1,0,0,1,0
1650,194,1.0,26000,2017,4,11,0,0,1,0,0,0,1
1663,124,1.0,27400,2017,4,12,0,0,1,1,0,0,0
1665,348,1.0,25600,2017,4,12,0,0,1,0,1,0,0
1667,57,1.0,26600,2017,4,12,0,0,1,0,0,1,0
1669,218,1.0,25100,2017,4,12,0,0,1,0,0,0,1
1684,263,1.0,24600,2017,4,13,0,0,1,1,0,0,0
1686,90,1.0,24700,2017,4,13,0,0,1,0,1,0,0
1688,34,1.0,25700,2017,4,13,0,0,1,0,0,1,0
1690,159,1.0,23600,2017,4,13,0,0,1,0,0,0,1
1702,112,1.0,26000,2017,4,14,0,0,1,1,0,0,0
1703,280,1.0,24300,2017,4,14,0,0,1,0,1,0,0
1705,193,1.0,23200,2017,4,14,0,0,1,0,0,1,0
1707,225,1.0,22500,2017,4,14,0,0,1,0,0,0,1
1724,111,1.0,26000,2017,4,15,0,0,1,1,0,0,0
1726,165,1.0,24700,2017,4,15,0,0,1,0,1,0,0
1728,148,1.0,23800,2017,4,15,0,0,1,0,0,1,0
1729,206,1.0,23700,2017,4,15,0,0,1,0,0,0,1
1744,135,1.0,26700,2017,4,17,0,0,1,1,0,0,0
1746,144,1.0,25600,2017,4,17,0,0,1,0,1,0,0
1748,100,1.0,25700,2017,4,17,0,0,1,0,0,1,0
1750,196,1.0,25000,2017,4,17,0,0,1,0,0,0,1
1764,100,1.0,26600,2017,4,18,0,0,1,1,0,0,0
1766,285,1.0,23500,2017,4,18,0,0,1,0,1,0,0
1768,251,1.0,23100,2017,4,18,0,0,1,0,0,1,0
1770,158,1.0,22400,2017,4,18,0,0,1,0,0,0,1
1784,180,1.0,25200,2017,4,19,0,0,1,1,0,0,0
1786,111,1.0,24300,2017,4,19,0,0,1,0,1,0,0
1788,79,1.0,24700,2017,4,19,0,0,1,0,0,1,0
1790,149,1.0,24200,2017,4,19,0,0,1,0,0,0,1
1804,149,1.0,24500,2017,4,20,0,0,1,1,0,0,0
1806,157,1.0,22900,2017,4,20,0,0,1,0,1,0,0
1808,114,1.0,24500,2017,4,20,0,0,1,0,0,1,0
1810,392,1.0,21200,2017,4,20,0,0,1,0,0,0,1
1823,112,1.0,24800,2017,4,21,0,0,1,1,0,0,0
1825,181,1.0,24700,2017,4,21,0,0,1,0,1,0,0
1827,126,1.0,24500,2017,4,21,0,0,1,0,0,1,0
1829,179,1.0,24500,2017,4,21,0,0,1,0,0,0,1
1844,133,1.0,24300,2017,4,22,0,0,1,1,0,0,0
1846,150,1.0,23500,2017,4,22,0,0,1,0,1,0,0
1848,193,1.0,23300,2017,4,22,0,0,1,0,0,1,0
1850,170,1.0,24100,2017,4,22,0,0,1,0,0,0,1
1863,161,1.0,23900,2017,4,24,0,0,1,1,0,0,0
1865,185,1.0,23700,2017,4,24,0,0,1,0,1,0,0
1867,194,1.0,24400,2017,4,24,0,0,1,0,0,1,0
1869,195,1.0,23200,2017,4,24,0,0,1,0,0,0,1
1884,89,1.0,25500,2017,4,25,0,0,1,1,0,0,0
1886,123,1.0,25500,2017,4,25,0,0,1,0,1,0,0
1888,152,1.0,24900,2017,4,25,0,0,1,0,0,1,0
1890,193,1.0,24900,2017,4,25,0,0,1,0,0,0,1
1903,208,1.0,24900,2017,4,26,0,0,1,1,0,0,0
1905,209,1.0,24400,2017,4,26,0,0,1,0,1,0,0
1907,83,1.0,24400,2017,4,26,0,0,1,0,0,1,0
1909,198,1.0,24600,2017,4,26,0,0,1,0,0,0,1
1923,201,1.0,24600,2017,4,27,0,0,1,1,0,0,0
1925,180,1.0,24000,2017,4,27,0,0,1,0,1,0,0
1927,216,1.0,24600,2017,4,27,0,0,1,0,0,1,0
1929,193,1.0,24300,2017,4,27,0,0,1,0,0,0,1
1944,191,1.0,24700,2017,4,28,0,0,1,1,0,0,0
1946,194,1.0,24800,2017,4,28,0,0,1,0,1,0,0
1948,125,1.0,24800,2017,4,28,0,0,1,0,0,1,0
1950,230,1.0,24400,2017,4,28,0,0,1,0,0,0,1
1972,229,1.0,24800,2017,4,29,0,0,1,1,0,0,0
1973,307,1.0,24400,2017,4,29,0,0,1,0,1,0,0
1974,77,1.0,25600,2017,4,29,0,0,1,0,0,1,0
1975,164,1.0,24300,2017,4,29,0,0,1,0,0,0,1
1985,263,1.0,25100,2017,5,1,0,0,1,1,0,0,0
1986,172,1.0,24700,2017,5,1,0,0,1,0,1,0,0
1988,263,1.0,24100,2017,5,1,0,0,1,0,0,1,0
1990,116,1.0,24500,2017,5,1,0,0,1,0,0,0,1
2004,193,1.0,25400,2017,5,2,0,0,1,1,0,0,0
2006,126,1.0,25100,2017,5,2,0,0,1,0,1,0,0
2008,151,1.0,24200,2017,5,2,0,0,1,0,0,1,0
2009,69,1.0,24700,2017,5,2,0,0,1,0,0,0,1
2028,260,1.0,24400,2017,5,3,0,0,1,1,0,0,0
2030,69,1.0,24700,2017,5,3,0,0,1,0,1,0,0
2032,69,1.0,24700,2017,5,3,0,0,1,0,0,1,0
2034,128,1.0,24300,2017,5,3,0,0,1,0,0,0,1
2045,218,1.0,24500,2017,5,4,0,0,1,1,0,0,0
