amount,weight,avg_price,yyyy,mm,dd,origin_부산(기장),origin_삼천포,origin_안흥,origin_제주도,origin_포항,standard_18미,standard_20미,standard_28미,standard_중
1251,85,10.0,30000,2017,5,25,0,0,0,1,0,0,0,1,0
1253,28,10.0,80000,2017,5,25,0,0,0,1,0,0,0,0,1
1256,58,10.0,19800,2017,5,25,0,0,0,0,1,0,0,0,1
1264,25,15.0,80000,2017,5,26,0,0,0,1,0,0,1,0,0
1269,29,15.0,21700,2017,5,26,0,0,0,0,1,0,0,0,1
1274,44,18.0,40000,2017,5,27,1,0,0,0,0,0,0,1,0
1278,274,18.0,22000,2017,5,29,1,0,0,0,0,0,0,1,0
1280,24,10.0,70000,2017,5,29,0,0,0,1,0,0,1,0,0
1284,117,15.0,8000,2017,5,29,0,0,0,0,1,0,0,0,1
1294,37,18.0,25000,2017,5,30,1,0,0,0,0,0,0,1,0
1295,20,15.0,60000,2017,5,30,0,0,0,1,0,0,1,0,0
1298,26,15.0,13000,2017,5,30,0,0,0,0,1,0,0,0,1
1306,120,15.0,40000,2017,5,31,1,0,0,0,0,0,1,0,0
1307,57,18.0,40000,2017,5,31,1,0,0,0,0,0,1,0,0
1310,418,18.0,17200,2017,5,31,1,0,0,0,0,0,0,1,0
1313,60,15.0,7000,2017,5,31,0,0,0,0,1,0,0,0,1
1318,45,18.0,38000,2017,6,1,1,0,0,0,0,0,1,0,0
1320,10,15.0,45000,2017,6,1,0,0,0,1,0,0,1,0,0
1323,37,15.0,8000,2017,6,1,0,0,0,0,1,0,0,0,1
1329,21,18.0,60000,2017,6,2,1,0,0,0,0,0,1,0,0
1331,22,15.0,60000,2017,6,2,0,0,0,1,0,0,0,0,1
1334,319,15.0,10000,2017,6,2,0,0,0,0,1,0,0,0,1
1338,78,18.0,50000,2017,6,3,1,0,0,0,0,0,1,0,0
1342,2,15.0,45000,2017,6,3,0,0,0,1,0,1,0,0,0
1343,10,15.0,60000,2017,6,3,0,0,0,1,0,0,1,0,0
1345,19,15.0,45000,2017,6,3,0,0,0,1,0,0,0,0,1
1346,57,15.0,10000,2017,6,3,0,0,0,0,1,0,0,0,1
1348,57,10.0,60000,2017,6,5,1,0,0,0,0,0,1,0,0
1349,148,10.0,48000,2017,6,5,1,0,0,0,0,0,0,1,0
1350,61,10.0,13000,2017,6,5,0,0,0,0,1,0,0,0,1
1358,46,18.0,60000,2017,6,6,1,0,0,0,0,0,1,0,0
1361,80,18.0,35000,2017,6,6,1,0,0,0,0,0,0,1,0
1364,20,18.0,60000,2017,6,7,1,0,0,0,0,0,1,0,0
1367,1,18.0,10000,2017,6,7,1,0,0,0,0,0,0,0,1
1368,28,15.0,15500,2017,6,7,0,0,0,0,1,0,0,0,1
1378,55,10.0,8000,2017,6,8,0,0,0,1,0,0,1,0,0
1383,11,15.0,15000,2017,6,8,0,0,0,0,1,0,0,0,1
1390,15,15.0,65000,2017,6,9,0,0,0,1,0,0,1,0,0
1394,3,15.0,15000,2017,6,9,0,0,0,0,1,0,1,0,0
1400,63,15.0,65000,2017,6,10,0,0,0,1,0,0,1,0,0
1402,88,15.0,41300,2017,6,10,0,0,0,1,0,0,0,0,1
1404,1,15.0,10000,2017,6,10,0,0,0,0,1,0,1,0,0
1405,218,15.0,16800,2017,6,10,0,0,0,0,1,0,0,0,1
